id;carta;url
0;Código Live · Booster;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration-Additionals/30th-Celebration-Live-Code-Card-Booster-30C
1;Azumarill 068/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Azumarill-30C068
2;Cambio 127/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Switch-30C127
3;Código Live · Elite Trainer Box;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration-Additionals/30th-Celebration-Live-Code-Card-Elite-Trainer-Box-30C
4;Chandelure 075/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Chandelure-V1-30C075
5;Comfey 077/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Comfey-30C077
6;Cosmoem 079/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Cosmoem-30C079
7;Cosmog 078/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Cosmog-30C078
8;Dialga 103/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Dialga-30C103
9;Ditto 115/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Ditto-30C115
10;Drifloon 073/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Drifloon-V1-30C073
11;Eevee 116/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Eevee-30C116
12;Eevee 117/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Eevee-V1-30C117
13;Espeon 069/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Espeon-30C069
14;Espeon ex 070/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Espeon-ex-30C070
15;Exeggcute 001/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Exeggcute-30C001
16;Exeggutor de Alola 002/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Alolan-Exeggutor-V1-30C002
17;Ferrothorn 104/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Ferrothorn-30C104
18;Fuecoco ex 015/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Fuecoco-ex-V1-30C015
19;Gholdengo 108/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Gholdengo-V1-30C108
20;Gimmighoul 081/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Gimmighoul-30C081
21;Groudon 082/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Groudon-30C082
22;Hakamo-o 111/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Hakamo-o-30C111
23;Ho-Oh 012/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Ho-Oh-30C012
24;Hydreigon 099/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Hydreigon-30C099
25;Jangmo-o 110/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Jangmo-o-30C110
26;Kangaskhan 114/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Kangaskhan-30C114
27;Kommo-o 143/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Kommo-o-V2-30C143
28;Kommo-o 112/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Kommo-o-V1-30C112
29;Koraidon 086/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Koraidon-30C086
30;Kyogre 019/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Kyogre-30C019
31;Lapras 017/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Lapras-V1-30C017
32;Lucario 083/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Lucario-30C083
33;Lugia 121/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Lugia-30C121
34;Mega Dragonite ex 271;https://www.cardmarket.com/es/Pokemon/Products/Singles/Ascended-Heroes/Mega-Dragonite-ex-V2-ASC271
35;Mega Kangaskhan ex 182;https://www.cardmarket.com/es/Pokemon/Products/Singles/Mega-Evolution/Mega-Kangaskhan-ex-V3-MEG182
36;Meowth 113/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Meowth-V1-30C113
37;Meowth de Alola 089/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Alolan-Meowth-V1-30C089
38;Mew 065/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Mew-30C065
39;Mew ex 066/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Mew-ex-V1-30C066
40;Mewtwo 063/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Mewtwo-30C063
41;Minior 124/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Minior-30C124
42;Moltres 011/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Moltres-V1-30C011
43;Morpeko 061/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Morpeko-V1-30C061
44;Morpeko 135/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Morpeko-V2-30C135
45;Murkrow 093/128;https://www.cardmarket.com/es/Pokemon/Products/Singles/30th-Celebration/Murkrow-30C093
