id;carta;precio;cantidad
0;Código Live · Booster;0.14;32
1;Azumarill 068/128;0.25;2
2;Cambio 127/128;0.25;4
3;Código Live · Elite Trainer Box;0.48;2
4;Chandelure 075/128;0.25;1
5;Comfey 077/128;0.25;0
6;Cosmoem 079/128;0.25;4
7;Cosmog 078/128;0.25;1
8;Dialga 103/128;0.25;3
9;Ditto 115/128;0.45;2
10;Drifloon 073/128;0.25;1
11;Eevee 116/128;0.45;1
12;Eevee 117/128;0.45;2
13;Espeon 069/128;0.55;2
14;Espeon ex 070/128;1.35;1
15;Exeggcute 001/128;0.25;1
16;Exeggutor de Alola 002/128;0.25;1
17;Ferrothorn 104/128;0.25;1
18;Fuecoco ex 015/128;0.65;3
19;Gholdengo 108/128;0.25;3
20;Gimmighoul 081/128;0.25;1
21;Groudon 082/128;0.25;1
22;Hakamo-o 111/128;0.25;4
23;Ho-Oh 012/128;0.25;1
24;Hydreigon 099/128;0.25;1
25;Jangmo-o 110/128;0.25;1
26;Kangaskhan 114/128;0.25;1
27;Kommo-o 143/128;3.90;1
28;Kommo-o 112/128;0.25;2
29;Koraidon 086/128;0.25;1
30;Kyogre 019/128;0.25;1
31;Lapras 017/128;0.25;1
32;Lucario 083/128;0.25;2
33;Lugia 121/128;0.35;3
34;Mega Dragonite ex 271;30.00;1
35;Mega Kangaskhan ex 182;60.00;1
36;Meowth 113/128;0.25;1
37;Meowth de Alola 089/128;0.25;3
38;Mew 065/128;0.25;2
39;Mew ex 066/128;7.25;1
40;Mewtwo 063/128;0.35;1
41;Minior 124/128;0.25;2
42;Moltres 011/128;0.25;2
43;Morpeko 061/128;0.25;1
44;Morpeko 135/128;7.35;1
45;Murkrow 093/128;0.25;2
46;Nidoran ♀ 087/128;0.25;1
47;Nidorina 088/128;0.25;3
48;Ninetales 010/128;0.25;1
49;Pikachu 052/128;1.90;1
50;Pikachu 042/128;2.35;1
51;Pikachu 037/128;1.80;1
52;Pikachu 031/128;2.60;1
53;Pikachu 051/128;1.65;1
54;Pikachu 028/128;1.60;1
55;Pikachu 030/128;1.60;1
56;Pikachu 045/128;1.40;1
57;Pikachu 040/128;2.45;2
58;Pikachu 026/128;1.60;1
59;Pikachu ex 053/128;2.10;1
60;Pikachu ex 054/128;2.10;1
61;Pokétableta 126/128;0.75;1
62;Raikou VIV 50;20.00;1
63;Reshiram 014/128;0.25;2
64;Scraggy 094/128;0.25;2
65;Seismitoad 084/128;0.25;1
66;Snorlax 119/128;0.35;2
67;Solgaleo 105/128;0.25;1
68;Sylveon ex 071/128;1.40;2
69;Toxel 058/128;0.25;1
70;Toxtricity 059/128;0.25;1
71;Tropius 005/128;0.25;3
72;Victini 013/128;0.25;1
73;Volbeat 003/128;0.25;1
74;Vulpix 009/128;0.25;1
75;Wishiwashi 022/128;0.25;3
76;Xerneas 076/128;0.25;1
77;Yveltal 100/128;0.25;1
78;Zacian V SSH 138;13.00;1
79;Zacian 106/128;0.25;1
80;Zamazenta 107/128;0.25;1
81;Zeraora 057/128;0.25;3
82;Zoroark de Hisui 123/128;0.25;3
83;Zorua 095/128;0.25;1
84;Zorua de Hisui 122/128;0.25;2
85;Zorua de Hisui 145/128;9.10;1
86;Zweilous 098/128;0.25;1
