id;minimo;ofertas;fecha
0;0.02;219;25/09/2026
1;0.02;49;25/09/2026
2;0.02;43;25/09/2026
3;0.10;69;25/09/2026
4;0.02;42;25/09/2026
5;0.02;59;25/09/2026
6;0.04;39;25/09/2026
7;0.02;63;25/09/2026
8;0.03;40;25/09/2026
9;0.02;41;25/09/2026
10;0.02;46;25/09/2026
11;0.03;48;25/09/2026
12;0.02;29;25/09/2026
13;0.05;39;25/09/2026
14;0.50;43;25/09/2026
15;0.02;50;25/09/2026
16;0.02;43;25/09/2026
17;0.02;45;25/09/2026
18;0.19;45;25/09/2026
19;0.02;50;25/09/2026
20;0.02;56;25/09/2026
21;0.02;49;25/09/2026
22;0.02;60;25/09/2026
23;0.02;49;25/09/2026
24;0.02;47;25/09/2026
25;0.02;58;25/09/2026
26;0.02;33;25/09/2026
27;2.50;41;25/09/2026
28;0.02;56;25/09/2026
29;0.02;56;25/09/2026
30;0.02;50;25/09/2026
31;0.02;47;25/09/2026
32;0.03;40;25/09/2026
33;0.02;38;25/09/2026
34;24.00;51;25/09/2026
35;45.00;20;25/09/2026
36;0.02;46;25/09/2026
37;0.02;63;25/09/2026
38;0.50;35;25/09/2026
39;4.40;36;25/09/2026
40;0.19;37;25/09/2026
41;0.02;45;25/09/2026
42;0.03;33;25/09/2026
43;0.02;51;25/09/2026
44;5.45;48;25/09/2026
45;0.02;44;25/09/2026
46;0.02;65;25/09/2026
47;0.02;59;25/09/2026
48;0.03;40;25/09/2026
49;0.50;60;25/09/2026
50;0.70;36;25/09/2026
51;0.40;57;25/09/2026
52;0.90;16;25/09/2026
53;0.60;64;25/09/2026
54;0.90;64;25/09/2026
55;0.50;75;25/09/2026
56;0.20;63;25/09/2026
57;0.80;61;25/09/2026
58;0.98;33;25/09/2026
59;1.90;45;25/09/2026
60;1.90;29;25/09/2026
61;0.02;39;25/09/2026
62;12.00;24;25/09/2026
63;0.02;56;25/09/2026
64;0.02;44;25/09/2026
65;0.02;42;25/09/2026
66;0.03;59;25/09/2026
67;0.02;63;25/09/2026
68;0.50;63;25/09/2026
69;0.02;65;25/09/2026
70;0.02;47;25/09/2026
71;0.02;64;25/09/2026
72;0.02;45;25/09/2026
73;0.02;43;25/09/2026
74;0.02;64;25/09/2026
75;0.02;47;25/09/2026
76;0.02;49;25/09/2026
77;0.02;50;25/09/2026
78;7.99;16;25/09/2026
79;0.02;40;25/09/2026
80;0.03;43;25/09/2026
81;0.04;50;25/09/2026
82;0.02;52;25/09/2026
83;0.02;50;25/09/2026
84;0.02;55;25/09/2026
85;5.00;39;25/09/2026
86;0.02;44;25/09/2026
